Publisher,Journal title,Article title,Cost
Elsevier,Biomaterials,The Effect of Microgrooved Culture Substrates on Calcium Cycling of Cardiac Myocytes Derived from Human Induced Pluripotent Stem Cells,"£2 466,39"
BioMed Central,BioMed Central,Long-term impact of systemic bacterial infection on the cerebral vasculature and microglia. ,"£1 350,00"
Springer,Biomedical Microdevices,Continuous in vivo blood pressure measurements using a fully implantable wireless SAW sensor,"£2 236,16"
Springer-Verlag GmbH,Biomolecular NMR Assignments,"Resonance assignment of As-p18, a fatty acid binding protein secreted by developing larvae of the parasitic nematode Ascaris suum","£1 930,88"
"Springer-Verlag GmbH, Heidelberger Platz 3, D-14197 Berlin",Biomolecular NMR Assignments,"1H, 13C and 15N chemical shift assignments of Na-FAR-1, a helix-rich fatty acid and retinol binding protein of the parasitic nematode Necator americanus ","£1 916,11"
Biophysical Society,Biophysical Journal,GABA binding to an insect GABA receptor: a molecular dynamics and mutagenesis study,"£675,29"
Biophysical Society,Biophysical Journal,Single-molecule observation of the induction of k-turn RNA structure on binding L7Ae protein,"£683,96"
Byophysical Society,Biophysical Journal,Aggregation modulators interfer with membrane interactions of Beta2 microglobulin fibrils,"£671,04"
John Wiley & Sons Ltd,Biopolymers,ATP-Driven molecular chaperone machines,"£1 981,72"
Wiley,Biopolymers,Particle Tracking Microrheology of Purified Gastrointestinal Mucins,"£1 981,77"
Portland Press Ltd,Bioscience Reports,Genetic and structural validation of Aspergillus fumigatus N-acetylphosphoglucosamine mutase as an antifungal target.,"£834,00"
Nature,Biosocieties,"""Creating the 'Ethics Industry': Mary Warnock, In Vitro Fertilization and the History of Bioethics in Britain""","£1 800,00"
Palgrave MacMillan ,BioSocieties,"Health Economists, Tobacco Control and International Development: On the Economisation of Global Health beyond Neoliberal Structural Adjustment Policies","£1 920,00"
Elsevier,Biosystems,Information coding in vasopressin neurons-The role of asynchronous bistable burst firing.,"£2 863,73"
Wiley,Birth Defects Research Part A: Clinical and Molecular Teratology,Knowledge and peri-conceptional use of folic acid for the prevention of neural tube defects in ethnic communities in the United Kingdom: Systematic review and meta-analysis,"£1 500,00"
Wiley,Birth Defects Research Part A: Clinical and Molecular Teratology  ,Is LMNB1 a susceptibility gene for neural tube defects in humans?,"£1 500,00"
BMJ,BJOPHTHALMOL,Near-infrared transillumination photography to detect anterior uveal melanomas through Black IOLs,"£2 340,00"
The Royal College of Psychiatrists,BJP,Effect of psychosocial interventions on social functioning in depression and schizophrenia: meta-analysis,"£3 000,00"
American Society of Haematology,Blood,Disease-associated missense mutations in the EVH1 domain disrupt intrinsic WASp function causing dysregulated actin dynamics and impaired dendritic cell migration,"£1 260,26"
American Society of Haematology,Blood,SAP gene transfer restores cellular and humoral immune function in a murine model of X-linked lymphoproliferative disease,"£1 260,26"
American Society of Hematology,Blood,Super-resolution imaging of remodeled synaptic actin reveals different synergies between NK cell receptors and integrins.,"£1 230,40"
American Society of Hematology,Blood,Induction of IL-4Ra-dependent microRNAs identifies PI3K/Akt signaling as essential for IL-4-driven murine macrophage proliferation in vivo,"£1 288,14"
American Society of Hematology,Blood,Siglec-E is a negative regulator of acute pulmonary neutrophil inflammation and suppresses CD11b β2-integrin-dependent signaling,"£1 340,75"
American Society of Hematology,Blood,Evaluation of participants with suspected heritable platelet function disorders including recommendation and validation of a streamlined agonist panel.,"£1 527,20"
American Society of Hematology,Blood,Characterization of a novel NKG2D and NKp46 double-mutant mouse reveals subtle variations in the NK cell repertoire,"£1 543,44"
American Society of Hamatology,Blood Journal 2012,Peptide Length Determines the Outcome of T Cell Receptor/Peptide-MHCI Engagement,"£1 597,98"
American Society of Hematology,Blood Journal 2012,Epidermis instructs skin homing receptor expression in human T cells,"£1 578,43"
BioMed central,BMC  Public Health,Geographical access to care at birth n Ghana: a barrier to safe motherhood,"£1 536,00"
BioMed Central,BMC Biology,Detailed interrogation of trypanosome cell biology via differential organelle staining and automated image analysis,"£1 674,00"
BioMed Central,BMC Genetics,The physical capability of community-based mend and women from a British cohort: the European Prospective Investigation into Cancer (EPIC)-Norfolk study,"£1 375,80"
BioMed Central,BMC Genome Biology,Patterns of prokaryotic lateral gene transfers affecting parasitic microbial eukaryotes,"£2 010,00"
BioMed Central,BMC Genomics,Trichomonas vaginalis vast BspA-like gene family: evidence for functional diversity from sructural organization and transcriptomics,"£1 204,38"
BioMed Central,BMC Genomics,"Enhancing the utility of Proteomics Signature Profiling (PSP) with Pathway Derived Subnets (PDSs), performance analysis and specialised ontologies","£1 254,60"
Biomed Central,BMC Genomics,Advances in genome-wide RNAi cellular screens: a case study using the Drosophila JAK/STAT pathway,"£1 476,00"
BioMed Central ,BMC Genomics,Transcriptional adaptation of pneumococci and human pharyngeal cells in the presence of a virus infection.,"£608,52"
BioMed Central ,BMC Genomics.,"Phenotypic, genomic, and transcriptional characterization of Streptococcus pneumonia interacting with human pharyngeal cells.","£608,52"
BioMed Central,BMC Health Services Research,Community groups as 'critical enablers' of the HIV response in Zimbabwe,"£1 536,00"
BMC,BMC Health Services Research,The development of a lay health worker delivered collaborative community based intervention for people with schizophrenia in India ,"£1 128,00"
BioMed Central Ltd,BMC Infectious diseases,Endotoxaemia is common in children with Plasmodium falciparum malaria,"£1 536,00"
BMC,BMC Infectious Diseases,The proportions of people living with HIV in low and middle-income countries who test tuberculin skin test positive using either ....,"£1 375,80"
BioMed Central ,BMC Infectious Diseases ,The receptive versus current risks of Plasmodium falciparum transmission in Northern Namibia: implications for elimination.,"£1 280,00"
BMC,BMC Medical Ethics,Taking ethical photos of children for medical and research purposes in low-resource settings: an exploratory qualitative study,"£1 315,80"
BioMed Central,BMC Medical Genetics,Maternal and offspring fasting glucose and type 2 diabetes-associated genetic variants and cognitive function at age 8: a Mendelian randomization study in the Avon Longitudinal Study of Parents and Children,"£1 536,00"
BMC,BMC Medical Imaging,Correlation of automated IMT and BMI in an image database from India on a very low resolution carotid ultrasound.,"£1 290,00"
BioMed Central,BMC Medicine,Associations between selected immune-mediated diseases and tuberculosis: record-linkage studies,"£1 734,00"
BioMed Central,BMC Medicine,Genetic environmental and stochastic factors in monozygotic twin discordance with a focus on epigenetic differences,"£1 794,00"
BMC,BMC Medicine,HIV-associated tuberculosis: relationship between disease severity and the sensitivity of new sputum-based and urine-based diagnostic assays,"£1 605,30"
BioMed Central,BMC Microbiology,Sub-inhibitory concentrations of some antibiotics drive diversification of Pseudomonas aeruginosa populations in artificial sputum medium,"£1 375,80"
BioMed Central,BMC Molecular Biology,Multiple tandem splicing silencer elements suppress aberrant splicing within  the long exon 26 of the human Apolipoprotein B gene,"£1 536,00"
BioMed Central,BMC Neurology,Risk of fractures in patients with multiple sclerosis: record-linkage study,"£1 476,00"
BioMed Central,BMC Neuroscience,Steerable-filter based quantification of axonal populations at the developing optic chiasm reveal significant defects in Slit2(-/-) as well as Slit1(-/-)Slit2(-/-) embryos.,"£1 314,60"
BioMed Central Limited,BMC Pediatrics,A retrospective study of Human Immunodeficincy Virus transmission mortality and loss to follow-up among infants in the first 18 months of life in prevention of mother-t-child transmission programme in an urban hospital in KwaZulu-Natal South Africa,"£1 280,00"
BioMed central,BMC Psychiatry,Rates of undiagnosed attention deficit hyperactivity disorder in London drug and alcohol detoxification units,"£1 180,80"
Biomed Central,BMC Psychiatry,"Detecting depression among adolescents in Santiago, Chile: sex differences","£1 650,51"
BioMed Central,BMC Public Health,Implementation of an educational intervention to improve hand washing in primary schools: process evaluation within a randomised controlled trial,"£437,00"
BioMed Central,BMC Public Health,Social acceptability and perceived impact of a community-led cash transfer programme in Zimbabwe,"£1 314,60"
BioMed Central,BMC Public Health,The role of community conversations in facilitating local HIV competence: Case study from rural Zimbabwe,"£1 536,00"
BioMed Central Limited,BMC Public Health,Tuberculosis and poverty: the contribution of patients costs in sub-Saharan Africa - a systematic review,"£1 280,00"
BioMed Central Limited,BMC Public Health,Maternal HIV disclosure to HIV- uninfected children in rural South Africa: a pilot study of family-based intervention,"£1 280,00"
BioMed Central Limited,BMC Public Health,Older HIV-infected individuals present late and have a higher mortality: Brighton UK cohort study,"£1 280,00"
BMC,BMC Public Health,The effectiveness of mental health promotion interventions for young people in low and middle income countries: a systematic review.,"£475,62"
BMC,BMC Public Health,Intimate partner violence against women during and after pregnancy: a cross-sectional study in Mumbai slums,"£1 254,60"
BMC,BMC Public Health,Do accurate HIV and antiretroviral therapy knowledge and previous testing experiences increase the uptake o ....,"£1 315,80"
BMC,BMC Public Health,Alcohol assessment and feedback by e-mail for university student hazardous and harmful drinkers: study protocol for the AMADEUS-2 randomised controlled trials.,"£1 315,80"
BMC,BMC Public Health,Education is associated with lower levels of abdominal obesity in women with a non-agricultural occupation: an interaction study using China's Four Provinces survey,"£1 315,80"
BMC,BMC Public Health,Association between legume intake and self-reported diabetes among adult men and women in India.,"£1 536,00"
BMC,BMC Public Health,"Evidence of improving antiretroviral therapy treatment delays: an analysis of eight years of programmatic outcomes in Blantyre, Malawi","£1 536,00"
BMC,BMC Public Health,Effectiveness of alcohol brief intervention delivered by community pharmacists: study protocol of a two-arm randomised controlled trial.,"£1 608,00"
Biomed Central,BMC Research Notes,"Prevalence of schistosome antibodies and hepatosplenic signs and symptoms among patients from Kaoma, Western Province, Zambia","£729,30"
Biomed Central,BMC Veterinary Research,"Prevalence of porcine cysticercosis and associated risk factors in Homa Bay District, Kenya","£1 230,00"
BMJ,BMJ,Study protocol for a randomised controlled double-blinded trial of the dose-dependent efficacy and safety of primaquine  for clearance of gametocytes in children with uncomplicated falciparum malaria in Uganda.,"£810,00"
BMJ,BMJ,Heat and risk of myocardial infarction: hourly level case-crossover analysis of MINAP database,"£3 000,00"
BMJ,BMJ,"Completeness and diagnostic validity of recording acute myocardial infarction events in primary care, hospital care, disease registry, and national mortality records: cohort study.","£3 600,00"
BMJ ,BMJ,Estimating the relative contribution of parasitic infections and nutrition for anaemia among school-aged children in Kenya.,"£1 500,00"
